nodename,cellname,pscrambcode,uarfcndownlink,lon,lat,azimuth
HGLY04,HGLY04D,53,10587,105.604682,105.604682,30
HGLY04,HGLY04E,61,10587,105.604682,105.604682,150
HGLY04,HGLY04F,69,10587,105.604682,105.604682,270
HGLY04,HGLY04G,53,10612,105.604682,105.604682,30
HGLY04,HGLY04H,61,10612,105.604682,105.604682,150
HGLY04,HGLY04I,69,10612,105.604682,105.604682,270
HGCA02,HGCA02A,27,10562,105.73811,105.73811,30
HGCA02,HGCA02B,35,10562,105.73811,105.73811,120
HGCA02,HGCA02C,43,10562,105.73811,105.73811,300
HGCA02,HGCA02D,27,10587,105.73811,105.73811,30
HGCA02,HGCA02E,35,10587,105.73811,105.73811,120
HGCA02,HGCA02F,43,10587,105.73811,105.73811,300
HGCA02,HGCA02G,27,10612,105.73811,105.73811,30
HGCA02,HGCA02H,35,10612,105.73811,105.73811,120
HGCA02,HGCA02I,43,10612,105.73811,105.73811,300
HGLY05,HGLY05D,4,10587,105.57702,105.57702,60
HGLY05,HGLY05E,12,10587,105.57702,105.57702,190
HGLY05,HGLY05F,20,10587,105.57702,105.57702,290
HGLY05,HGLY05G,4,10612,105.57702,105.57702,60
HGLY05,HGLY05H,12,10612,105.57702,105.57702,190
HGLY05,HGLY05I,20,10612,105.57702,105.57702,290
HGLY12,HGLY12D,101,10587,105.5876,105.5876,30
HGLY12,HGLY12E,109,10587,105.5876,105.5876,150
HGLY12,HGLY12F,117,10587,105.5876,105.5876,270
HGLY12,HGLY12G,101,10612,105.5876,105.5876,70
HGLY12,HGLY12H,109,10612,105.5876,105.5876,160
HGLY12,HGLY12I,117,10612,105.5876,105.5876,340
HGLY13,HGLY13D,125,10587,105.63577,105.63577,10
HGLY13,HGLY13E,133,10587,105.63577,105.63577,190
HGLY13,HGLY13F,141,10587,105.63577,105.63577,230
HGLY13,HGLY13G,125,10612,105.63577,105.63577,10
HGLY13,HGLY13H,133,10612,105.63577,105.63577,190
HGLY13,HGLY13I,141,10612,105.63577,105.63577,230
HGLY14,HGLY14D,28,10587,105.57257,105.57257,0
HGLY14,HGLY14E,36,10587,105.57257,105.57257,180
HGLY14,HGLY14F,44,10587,105.57257,105.57257,270
HGLY14,HGLY14G,28,10612,105.57257,105.57257,0
HGLY14,HGLY14H,36,10612,105.57257,105.57257,180
HGLY14,HGLY14I,44,10612,105.57257,105.57257,270
HGLY15,HGLY15B,157,10562,105.56615,105.56615,150
HGLY15,HGLY15C,165,10562,105.56615,105.56615,270
HGLY15,HGLY15D,149,10587,105.56615,105.56615,30
HGLY15,HGLY15E,157,10587,105.56615,105.56615,150
HGLY15,HGLY15F,165,10587,105.56615,105.56615,270
HGLY15,HGLY15G,149,10612,105.56615,105.56615,30
HGLY15,HGLY15H,157,10612,105.56615,105.56615,150
HGLY15,HGLY15I,165,10612,105.56615,105.56615,270
HGLY16,HGLY16B,181,10562,105.55805,105.55805,150
HGLY16,HGLY16C,189,10562,105.55805,105.55805,230
HGLY16,HGLY16D,173,10587,105.55805,105.55805,0
HGLY16,HGLY16E,181,10587,105.55805,105.55805,150
HGLY16,HGLY16F,189,10587,105.55805,105.55805,230
HGLY16,HGLY16G,173,10612,105.55805,105.55805,0
HGLY16,HGLY16H,181,10612,105.55805,105.55805,150
HGLY16,HGLY16I,189,10612,105.55805,105.55805,230
HGLY18,HGLY18B,229,10562,105.57822,105.57822,240
HGLY18,HGLY18C,237,10562,105.57822,105.57822,340
HGLY18,HGLY18D,221,10587,105.57822,105.57822,150
HGLY18,HGLY18E,229,10587,105.57822,105.57822,240
HGLY18,HGLY18F,237,10587,105.57822,105.57822,340
HGLY18,HGLY18G,221,10612,105.57822,105.57822,150
HGLY18,HGLY18H,229,10612,105.57822,105.57822,240
HGLY18,HGLY18I,237,10612,105.57822,105.57822,340
HGLY22,HGLY22B,253,10562,105.59234,105.59234,150
HGLY22,HGLY22C,261,10562,105.59234,105.59234,270
HGLY22,HGLY22D,245,10587,105.59234,105.59234,30
HGLY22,HGLY22E,253,10587,105.59234,105.59234,150
HGLY22,HGLY22F,261,10587,105.59234,105.59234,270
HGLY22,HGLY22G,245,10612,105.59234,105.59234,30
HGLY22,HGLY22H,253,10612,105.59234,105.59234,150
HGLY22,HGLY22I,261,10612,105.59234,105.59234,270
HGLY34,HGLY34B,277,10562,105.6192,105.6192,230
HGLY34,HGLY34C,285,10562,105.6192,105.6192,340
HGLY34,HGLY34D,269,10587,105.6192,105.6192,80
HGLY34,HGLY34E,277,10587,105.6192,105.6192,230
HGLY34,HGLY34F,285,10587,105.6192,105.6192,340
HGLY34,HGLY34G,269,10612,105.6192,105.6192,80
HGLY34,HGLY34H,277,10612,105.6192,105.6192,230
HGLY34,HGLY34I,285,10612,105.6192,105.6192,340
HGLY47,HGLY47D,341,10587,105.59313,105.59313,150
HGLY47,HGLY47E,349,10587,105.59313,105.59313,270
HGLY47,HGLY47F,357,10587,105.59313,105.59313,340
HGLY47,HGLY47G,341,10612,105.59313,105.59313,150
HGLY47,HGLY47H,349,10612,105.59313,105.59313,270
HGLY47,HGLY47I,357,10612,105.59313,105.59313,340
HGCA03,HGCA03A,51,10562,105.72566,105.72566,30
HGCA03,HGCA03B,59,10562,105.72566,105.72566,150
HGCA03,HGCA03C,67,10562,105.72566,105.72566,270
HGCA03,HGCA03D,51,10587,105.72566,105.72566,30
HGCA03,HGCA03E,59,10587,105.72566,105.72566,150
HGCA03,HGCA03F,67,10587,105.72566,105.72566,270
HGCA03,HGCA03G,51,10612,105.72566,105.72566,30
HGCA03,HGCA03H,59,10612,105.72566,105.72566,150
HGCA03,HGCA03I,67,10612,105.72566,105.72566,270
HGVT01,HGVT01A,3,10562,105.46578,105.46578,20
HGVT01,HGVT01B,11,10562,105.46578,105.46578,150
HGVT01,HGVT01C,19,10562,105.46578,105.46578,270
HGVT01,HGVT01D,3,10587,105.46578,105.46578,20
HGVT01,HGVT01E,11,10587,105.46578,105.46578,150
HGVT01,HGVT01F,19,10587,105.46578,105.46578,270
HGVT01,HGVT01G,3,10612,105.46578,105.46578,20
HGVT01,HGVT01H,11,10612,105.46578,105.46578,150
HGVT01,HGVT01I,19,10612,105.46578,105.46578,270
HGVT02,HGVT02D,27,10587,105.46722,105.46722,30
HGVT02,HGVT02E,35,10587,105.46722,105.46722,150
HGVT02,HGVT02F,43,10587,105.46722,105.46722,270
HGVT02,HGVT02G,27,10612,105.46722,105.46722,30
HGVT02,HGVT02H,35,10612,105.46722,105.46722,150
HGVT02,HGVT02I,43,10612,105.46722,105.46722,270
HGVT03,HGVT03D,51,10587,105.4799,105.4799,30
HGVT03,HGVT03E,59,10587,105.4799,105.4799,180
HGVT03,HGVT03F,67,10587,105.4799,105.4799,270
HGVT03,HGVT03G,51,10612,105.4799,105.4799,30
HGVT03,HGVT03H,59,10612,105.4799,105.4799,180
HGVT03,HGVT03I,67,10612,105.4799,105.4799,270
HGVT04,HGVT04D,75,10587,105.44902,105.44902,60
HGVT04,HGVT04E,83,10587,105.44902,105.44902,245
HGVT04,HGVT04F,91,10587,105.44902,105.44902,330
HGVT04,HGVT04G,75,10612,105.44902,105.44902,60
HGVT04,HGVT04H,83,10612,105.44902,105.44902,245
HGVT04,HGVT04I,91,10612,105.44902,105.44902,330
HGVT05,HGVT05D,2,10587,105.46601,105.46601,60
HGVT05,HGVT05E,10,10587,105.46601,105.46601,150
HGVT05,HGVT05F,18,10587,105.46601,105.46601,270
HGVT05,HGVT05G,2,10612,105.46601,105.46601,60
HGVT05,HGVT05H,10,10612,105.46601,105.46601,150
HGVT05,HGVT05I,18,10612,105.46601,105.46601,270
HGVT06,HGVT06D,26,10587,105.483714,105.483714,30
HGVT06,HGVT06E,34,10587,105.483714,105.483714,170
HGVT06,HGVT06F,42,10587,105.483714,105.483714,300
HGVT06,HGVT06G,26,10612,105.483714,105.483714,30
HGVT06,HGVT06H,34,10612,105.483714,105.483714,170
HGVT06,HGVT06I,42,10612,105.483714,105.483714,300
HGVT07,HGVT07D,99,10587,105.45914,105.45914,30
HGVT07,HGVT07E,107,10587,105.45914,105.45914,150
HGVT07,HGVT07F,115,10587,105.45914,105.45914,270
HGVT07,HGVT07G,99,10612,105.45914,105.45914,30
HGVT07,HGVT07H,107,10612,105.45914,105.45914,150
HGVT07,HGVT07I,115,10612,105.45914,105.45914,270
HGVT08,HGVT08A,123,10562,105.46072,105.46072,30
HGVT08,HGVT08B,131,10562,105.46072,105.46072,170
HGVT08,HGVT08C,139,10562,105.46072,105.46072,260
HGVT08,HGVT08D,123,10587,105.46072,105.46072,30
HGVT08,HGVT08E,131,10587,105.46072,105.46072,170
HGVT08,HGVT08F,139,10587,105.46072,105.46072,260
HGVT08,HGVT08G,123,10612,105.46072,105.46072,30
HGVT08,HGVT08H,131,10612,105.46072,105.46072,170
HGVT08,HGVT08I,139,10612,105.46072,105.46072,260
HGVT09,HGVT09D,50,10587,105.47089,105.47089,30
HGVT09,HGVT09E,58,10587,105.47089,105.47089,150
HGVT09,HGVT09F,66,10587,105.47089,105.47089,270
HGVT09,HGVT09G,50,10612,105.47089,105.47089,30
HGVT09,HGVT09H,58,10612,105.47089,105.47089,150
HGVT09,HGVT09I,66,10612,105.47089,105.47089,270
HGVT10,HGVT10B,491,10562,105.4175,105.4175,200
HGVT10,HGVT10C,499,10562,105.4175,105.4175,280
HGVT10,HGVT10D,483,10587,105.4175,105.4175,50
HGVT10,HGVT10E,491,10587,105.4175,105.4175,200
HGVT10,HGVT10F,499,10587,105.4175,105.4175,280
HGVT10,HGVT10G,483,10612,105.4175,105.4175,50
HGVT10,HGVT10H,491,10612,105.4175,105.4175,200
HGVT10,HGVT10I,499,10612,105.4175,105.4175,280
HGCA04,HGCA04A,1,10562,105.6342,105.6342,30
HGCA04,HGCA04B,9,10562,105.6342,105.6342,150
HGCA04,HGCA04C,17,10562,105.6342,105.6342,270
HGCA04,HGCA04D,1,10587,105.6342,105.6342,30
HGCA04,HGCA04E,9,10587,105.6342,105.6342,150
HGCA04,HGCA04F,17,10587,105.6342,105.6342,270
HGCA04,HGCA04G,1,10612,105.6342,105.6342,30
HGCA04,HGCA04H,9,10612,105.6342,105.6342,150
HGCA04,HGCA04I,17,10612,105.6342,105.6342,270
HGVT11,HGVT11M,387,10587,105.45834,105.45834,#REF!
HGVT11,HGVT11P,387,10612,105.45834,105.45834,#REF!
HGVT11,HGVT11D,147,10587,105.45834,105.45834,50
HGVT11,HGVT11E,155,10587,105.45834,105.45834,120
HGVT11,HGVT11F,163,10587,105.45834,105.45834,270
HGVT11,HGVT11G,147,10612,105.45834,105.45834,50
HGVT11,HGVT11H,155,10612,105.45834,105.45834,120
HGVT11,HGVT11I,163,10612,105.45834,105.45834,270
HGVT12,HGVT12M,385,10587,105.37231,105.37231,#REF!
HGVT12,HGVT12P,385,10612,105.37231,105.37231,#REF!
HGVT12,HGVT12D,217,10587,105.37231,105.37231,30
HGVT12,HGVT12E,225,10587,105.37231,105.37231,150
HGVT12,HGVT12F,233,10587,105.37231,105.37231,270
HGVT12,HGVT12G,217,10612,105.37231,105.37231,30
HGVT12,HGVT12H,225,10612,105.37231,105.37231,150
HGVT12,HGVT12I,233,10612,105.37231,105.37231,270
HGVT14,HGVT14D,171,10587,105.43493,105.43493,30
HGVT14,HGVT14E,179,10587,105.43493,105.43493,150
HGVT14,HGVT14F,187,10587,105.43493,105.43493,270
HGVT14,HGVT14G,171,10612,105.43493,105.43493,30
HGVT14,HGVT14H,179,10612,105.43493,105.43493,150
HGVT14,HGVT14I,187,10612,105.43493,105.43493,270
HGVT15,HGVT15D,241,10587,105.33646,105.33646,30
HGVT15,HGVT15E,249,10587,105.33646,105.33646,150
HGVT15,HGVT15F,257,10587,105.33646,105.33646,270
HGVT15,HGVT15G,241,10612,105.33646,105.33646,30
HGVT15,HGVT15H,249,10612,105.33646,105.33646,150
HGVT15,HGVT15I,257,10612,105.33646,105.33646,270
HGVT16,HGVT16D,195,10587,105.46162,105.46162,30
HGVT16,HGVT16E,203,10587,105.46162,105.46162,150
HGVT16,HGVT16F,211,10587,105.46162,105.46162,270
HGVT16,HGVT16G,195,10612,105.46162,105.46162,30
HGVT16,HGVT16H,203,10612,105.46162,105.46162,150
HGVT16,HGVT16I,211,10612,105.46162,105.46162,270
HGVT17,HGVT17D,265,10587,105.4146,105.4146,30
HGVT17,HGVT17E,273,10587,105.4146,105.4146,150
HGVT17,HGVT17F,281,10587,105.4146,105.4146,270
HGVT17,HGVT17G,265,10612,105.4146,105.4146,30
HGVT17,HGVT17H,273,10612,105.4146,105.4146,150
HGVT17,HGVT17I,281,10612,105.4146,105.4146,270
HGVT18,HGVT18D,219,10587,105.43173,105.43173,90
HGVT18,HGVT18E,227,10587,105.43173,105.43173,200
HGVT18,HGVT18F,235,10587,105.43173,105.43173,320
HGVT18,HGVT18G,219,10612,105.43173,105.43173,90
HGVT18,HGVT18H,227,10612,105.43173,105.43173,200
HGVT18,HGVT18I,235,10612,105.43173,105.43173,320
HGVT19,HGVT19D,243,10587,105.43607,105.43607,30
HGVT19,HGVT19E,251,10587,105.43607,105.43607,150
HGVT19,HGVT19F,259,10587,105.43607,105.43607,270
HGVT19,HGVT19G,243,10612,105.43607,105.43607,30
HGVT19,HGVT19H,251,10612,105.43607,105.43607,150
HGVT19,HGVT19I,259,10612,105.43607,105.43607,270
HGVT20,HGVT20D,74,10587,105.47395,105.47395,30
HGVT20,HGVT20E,82,10587,105.47395,105.47395,150
HGVT20,HGVT20F,90,10587,105.47395,105.47395,270
HGVT20,HGVT20G,74,10612,105.47395,105.47395,30
HGVT20,HGVT20H,82,10612,105.47395,105.47395,150
HGVT20,HGVT20I,90,10612,105.47395,105.47395,270
HGVT22,HGVT22D,98,10587,105.46234,105.46234,30
HGVT22,HGVT22E,106,10587,105.46234,105.46234,150
HGVT22,HGVT22F,114,10587,105.46234,105.46234,270
HGVT22,HGVT22G,98,10612,105.46234,105.46234,30
HGVT22,HGVT22H,106,10612,105.46234,105.46234,150
HGVT22,HGVT22I,114,10612,105.46234,105.46234,270
HGCA05,HGCA05A,25,10562,105.62169,105.62169,10
HGCA05,HGCA05B,33,10562,105.62169,105.62169,130
HGCA05,HGCA05C,41,10562,105.62169,105.62169,230
HGCA05,HGCA05D,25,10587,105.62169,105.62169,10
HGCA05,HGCA05E,33,10587,105.62169,105.62169,130
HGCA05,HGCA05F,41,10587,105.62169,105.62169,230
HGCA05,HGCA05G,25,10612,105.62169,105.62169,10
HGCA05,HGCA05H,33,10612,105.62169,105.62169,130
HGCA05,HGCA05I,41,10612,105.62169,105.62169,230
HGVT24,HGVT24D,122,10587,105.49466,105.49466,20
HGVT24,HGVT24E,130,10587,105.49466,105.49466,120
HGVT24,HGVT24F,138,10587,105.49466,105.49466,220
HGVT24,HGVT24G,122,10612,105.49466,105.49466,20
HGVT24,HGVT24H,130,10612,105.49466,105.49466,120
HGVT24,HGVT24I,138,10612,105.49466,105.49466,220
HGVT25,HGVT25D,267,10587,105.43501,105.43501,50
HGVT25,HGVT25E,275,10587,105.43501,105.43501,160
HGVT25,HGVT25F,283,10587,105.43501,105.43501,250
HGVT25,HGVT25G,267,10612,105.43501,105.43501,50
HGVT25,HGVT25H,275,10612,105.43501,105.43501,160
HGVT25,HGVT25I,283,10612,105.43501,105.43501,250
HGVT26,HGVT26D,289,10587,105.42022,105.42022,30
HGVT26,HGVT26E,297,10587,105.42022,105.42022,150
HGVT26,HGVT26F,305,10587,105.42022,105.42022,270
HGVT26,HGVT26G,289,10612,105.42022,105.42022,30
HGVT26,HGVT26H,297,10612,105.42022,105.42022,150
HGVT26,HGVT26I,305,10612,105.42022,105.42022,270
HGVT27,HGVT27D,291,10587,105.45909,105.45909,30
HGVT27,HGVT27E,299,10587,105.45909,105.45909,150
HGVT27,HGVT27F,307,10587,105.45909,105.45909,270
HGVT27,HGVT27G,291,10612,105.45909,105.45909,30
HGVT27,HGVT27H,299,10612,105.45909,105.45909,150
HGVT27,HGVT27I,307,10612,105.45909,105.45909,270
HGVT28,HGVT28D,313,10587,105.36952,105.36952,60
HGVT28,HGVT28E,321,10587,105.36952,105.36952,120
HGVT28,HGVT28F,329,10587,105.36952,105.36952,220
HGVT28,HGVT28G,313,10612,105.36952,105.36952,60
HGVT28,HGVT28H,321,10612,105.36952,105.36952,120
HGVT28,HGVT28I,329,10612,105.36952,105.36952,220
HGVT30,HGVT30D,339,10587,105.4697,105.4697,70
HGVT30,HGVT30E,347,10587,105.4697,105.4697,220
HGVT30,HGVT30F,355,10587,105.4697,105.4697,310
HGVT30,HGVT30G,339,10612,105.4697,105.4697,70
HGVT30,HGVT30H,347,10612,105.4697,105.4697,220
HGVT30,HGVT30I,355,10612,105.4697,105.4697,310
HGVT31,HGVT31A,146,10562,105.48502,105.48502,30
HGVT31,HGVT31B,154,10562,105.48502,105.48502,130
HGVT31,HGVT31C,162,10562,105.48502,105.48502,240
HGVT31,HGVT31D,146,10587,105.48502,105.48502,30
HGVT31,HGVT31E,154,10587,105.48502,105.48502,130
HGVT31,HGVT31F,162,10587,105.48502,105.48502,240
HGVT31,HGVT31G,146,10612,105.48502,105.48502,30
HGVT31,HGVT31H,154,10612,105.48502,105.48502,130
HGVT31,HGVT31I,162,10612,105.48502,105.48502,240
HGVT32,HGVT32D,363,10587,105.44821,105.44821,30
HGVT32,HGVT32E,371,10587,105.44821,105.44821,150
HGVT32,HGVT32F,379,10587,105.44821,105.44821,270
HGVT32,HGVT32G,363,10612,105.44821,105.44821,30
HGVT32,HGVT32H,371,10612,105.44821,105.44821,150
HGVT32,HGVT32I,379,10612,105.44821,105.44821,270
HGVY01,HGVY01D,244,10587,105.54442,105.54442,90
HGVY01,HGVY01E,252,10587,105.54442,105.54442,210
HGVY01,HGVY01F,260,10587,105.54442,105.54442,300
HGVY01,HGVY01G,244,10612,105.54442,105.54442,90
HGVY01,HGVY01H,252,10612,105.54442,105.54442,210
HGVY01,HGVY01I,260,10612,105.54442,105.54442,300
HGVY02,HGVY02B,276,10562,105.52249,105.52249,100
HGVY02,HGVY02C,284,10562,105.52249,105.52249,280
HGVY02,HGVY02D,268,10587,105.52249,105.52249,30
HGVY02,HGVY02E,276,10587,105.52249,105.52249,100
HGVY02,HGVY02F,284,10587,105.52249,105.52249,280
HGVY02,HGVY02G,268,10612,105.52249,105.52249,30
HGVY02,HGVY02H,276,10612,105.52249,105.52249,100
HGVY02,HGVY02I,284,10612,105.52249,105.52249,280
HGCA07,HGCA07A,385,10562,105.59885,105.59885,130
HGCA07,HGCA07B,393,10562,105.59885,105.59885,220
HGCA07,HGCA07C,401,10562,105.59885,105.59885,310
HGCA07,HGCA07D,385,10587,105.59885,105.59885,130
HGCA07,HGCA07E,393,10587,105.59885,105.59885,220
HGCA07,HGCA07F,401,10587,105.59885,105.59885,310
HGCA07,HGCA07G,385,10612,105.59885,105.59885,130
HGCA07,HGCA07H,393,10612,105.59885,105.59885,220
HGCA07,HGCA07I,401,10612,105.59885,105.59885,310
HGVY03,HGVY03A,387,10562,105.53516,105.53516,40
HGVY03,HGVY03B,395,10562,105.53516,105.53516,210
HGVY03,HGVY03C,403,10562,105.53516,105.53516,300
HGVY03,HGVY03D,387,10587,105.53516,105.53516,40
